,jobDist,n,m,lowerBound,cost,time,timeToBestCost
135,largeJobs,10,8,40908.125,60427,39.41009545326233,0.0
136,largeJobs,10,8,39980.125,57340,39.40037775039673,0.0
137,largeJobs,10,8,42520.0,62732,39.411314487457275,0.0
138,largeJobs,10,8,43305.0,66400,39.40699362754822,0.0
139,largeJobs,10,8,41903.25,58742,39.40377140045166,0.0
140,extremes,10,8,38251.0,38251,0.0,0.0
141,extremes,10,8,38936.0,38936,0.0,0.0
142,extremes,10,8,38235.0,38235,0.0,0.0
143,extremes,10,8,38869.0,38869,0.0,0.0
144,extremes,10,8,39716.0,39716,0.0,0.0
145,extremes,10,8,39961.0,39961,0.0,0.0
146,extremes,10,8,39410.0,39410,0.0,0.0
147,extremes,10,8,35768.0,35768,0.0,0.0
148,extremes,10,8,39365.0,39365,0.0,0.0
149,extremes,10,8,39952.0,39952,0.0,0.0
150,centred,10,8,27631.0,27631,0.0,0.0
151,centred,10,8,28631.0,32470,39.4004020690918,0.0
152,centred,10,8,32536.0,32536,0.0,0.0
153,centred,10,8,29882.0,38157,39.410422563552856,0.0
154,centred,10,8,26040.0,30763,39.40099549293518,0.0
155,centred,10,8,29084.375,36101,39.409881353378296,0.0
156,centred,10,8,29508.0,29508,0.0,0.0
157,centred,10,8,28017.0,29709,39.40523648262024,0.0
158,centred,10,8,32572.0,35733,39.40018153190613,0.0
159,centred,10,8,31487.0,36500,39.40095925331116,0.0009992122650146484
160,discreteUniform,100,20,98119.95,98167,39.40004873275757,10.23734188079834
161,discreteUniform,100,20,103187.8,103225,39.4009428024292,29.696699857711792
162,discreteUniform,100,20,110873.65,110917,39.40401840209961,36.76808977127075
163,discreteUniform,100,20,97891.45,97939,39.40046167373657,36.92539405822754
164,discreteUniform,100,20,98445.2,98496,39.40010595321655,12.039344787597656
165,discreteUniform,100,20,102797.55,102848,39.40095615386963,36.81780505180359
166,discreteUniform,100,20,98521.75,98568,39.40040373802185,29.205059051513672
167,discreteUniform,100,20,97183.85,97230,39.400790214538574,15.229023933410645
168,discreteUniform,100,20,100349.8,100400,39.400368213653564,15.136464834213257
169,discreteUniform,100,20,98042.9,98086,39.400145053863525,19.19677996635437
170,largeJobs,100,20,165521.3,165539,39.40074825286865,6.907273769378662
171,largeJobs,100,20,167268.15,167288,39.412018060684204,18.195738792419434
172,largeJobs,100,20,167136.75,167151,39.40016198158264,24.35961103439331
173,largeJobs,100,20,163648.5,163668,39.40088987350464,21.814783573150635
174,largeJobs,100,20,168681.8,168697,39.40093278884888,23.591552019119263
175,largeJobs,100,20,165868.85,165887,39.4000985622406,0.7013773918151855
176,largeJobs,100,20,168837.75,168854,39.40099120140076,22.192140817642212
177,largeJobs,100,20,168701.7,168716,39.40065884590149,9.35022234916687
178,largeJobs,100,20,170367.6,170384,39.4005811214447,23.45052719116211
179,largeJobs,100,20,165959.3,165977,39.400033473968506,11.266951084136963
180,extremes,100,20,101342.95,101386,39.40045881271362,29.731082439422607
181,extremes,100,20,104972.3,105013,39.40039014816284,34.0161828994751
182,extremes,100,20,100280.55,100304,39.40005946159363,34.356226205825806
183,extremes,100,20,93735.75,93777,39.40093779563904,12.92032766342163
184,extremes,100,20,104658.85,104701,39.40063500404358,33.41749548912048
185,extremes,100,20,101500.2,101529,39.400707721710205,36.95091724395752
186,extremes,100,20,97453.15,97493,39.40004014968872,37.33413815498352
187,extremes,100,20,109605.4,109634,39.409085512161255,13.562489986419678
188,extremes,100,20,103602.65,103624,39.400099754333496,13.450342655181885
189,extremes,100,20,97448.85,97484,39.400923013687134,37.19088578224182
190,centred,100,20,99519.6,99553,39.40001106262207,33.128904581069946
191,centred,100,20,100848.4,100871,39.40034222602844,17.25038456916809
192,centred,100,20,96179.95,96199,39.40711760520935,39.239662647247314
193,centred,100,20,102256.25,102287,39.400137424468994,35.45205020904541
194,centred,100,20,102456.6,102495,39.400004863739014,17.46482491493225
195,centred,100,20,95292.6,95331,39.40005612373352,16.17993998527527
196,centred,100,20,102057.7,102086,39.40094757080078,7.481085538864136
197,centred,100,20,95510.1,95532,39.40009355545044,1.6587414741516113
198,centred,100,20,106077.8,106106,39.40016961097717,38.359105825424194
199,centred,100,20,101343.9,101376,39.40091681480408,16.05860686302185
200,discreteUniform,100,40,46486.325,46923,39.4000346660614,32.05083966255188
201,discreteUniform,100,40,46288.775,46590,39.40057039260864,35.29145646095276
202,discreteUniform,100,40,52276.2,52648,39.40063548088074,3.1500296592712402
203,discreteUniform,100,40,50941.775,51804,39.401021003723145,0.0
204,discreteUniform,100,40,50908.05,51174,39.40064334869385,36.59256839752197
205,discreteUniform,100,40,49037.65,49323,39.40064764022827,23.20059609413147
206,discreteUniform,100,40,49972.625,50293,39.40068435668945,36.228578090667725
207,discreteUniform,100,40,48094.175,48551,39.400615215301514,8.461180686950684
208,discreteUniform,100,40,47691.525,48455,39.40006351470947,9.950264692306519
209,discreteUniform,100,40,51747.85,52049,39.400704860687256,13.400385856628418
210,largeJobs,100,40,84538.95,94833,39.40065312385559,6.516814470291138
211,largeJobs,100,40,82097.65,92147,39.40167570114136,31.04069423675537
212,largeJobs,100,40,82356.625,91353,39.404640436172485,25.617379188537598
213,largeJobs,100,40,82383.15,90807,39.402587890625,10.814958333969116
214,largeJobs,100,40,84516.625,95112,39.407562017440796,5.527395725250244
215,largeJobs,100,40,83889.925,93775,39.40973734855652,12.493654489517212
216,largeJobs,100,40,83577.975,93322,39.400068283081055,6.847210884094238
217,largeJobs,100,40,84256.125,94523,39.40066909790039,22.37349510192871
218,largeJobs,100,40,84071.25,93488,39.407002687454224,14.043359756469727
219,largeJobs,100,40,83591.95,93011,39.40696096420288,0.1717379093170166
220,extremes,100,40,54071.775,57522,39.40016031265259,0.0
221,extremes,100,40,43803.425,45520,39.409231185913086,0.22580170631408691
222,extremes,100,40,43104.825,44157,39.40377926826477,5.59713888168335
223,extremes,100,40,46914.3,51157,39.40034866333008,0.0
224,extremes,100,40,46750.05,50871,39.405659437179565,0.000997781753540039
225,extremes,100,40,42807.875,45673,39.40767765045166,0.0
226,extremes,100,40,44847.95,48964,39.40993285179138,0.0
227,extremes,100,40,47614.4,52720,39.414856910705566,0.0
228,extremes,100,40,50370.4,52670,39.4032142162323,0.10025310516357422
229,extremes,100,40,51757.4,58548,39.40426802635193,0.0
230,centred,100,40,49758.6,49978,39.413818359375,7.832433223724365
231,centred,100,40,49911.275,50096,39.40068054199219,15.461629629135132
232,centred,100,40,49826.825,49967,39.40488862991333,5.999084711074829
233,centred,100,40,50368.375,50642,39.40467286109924,20.34747815132141
234,centred,100,40,50605.55,50774,39.40682077407837,21.839237451553345
235,centred,100,40,50514.55,50808,39.40483283996582,29.734968900680542
236,centred,100,40,51369.6,51630,39.41199803352356,8.753743886947632
237,centred,100,40,51855.7,51988,39.40051865577698,17.199384212493896
238,centred,100,40,51691.425,51867,39.40531921386719,19.954395055770874
239,centred,100,40,49102.0,49325,39.40513610839844,8.858297348022461
240,discreteUniform,100,60,39900.0,39900,0.0,0.0
241,discreteUniform,100,60,39664.0,39664,0.0,0.0
242,discreteUniform,100,60,39562.0,39562,0.0,0.0
243,discreteUniform,100,60,37290.0,37290,0.0,0.0
244,discreteUniform,100,60,39423.0,41097,39.40070033073425,0.0
245,discreteUniform,100,60,39959.0,39959,0.0010006427764892578,0.0010006427764892578
246,discreteUniform,100,60,39381.0,39381,0.0,0.0
247,discreteUniform,100,60,39214.0,39214,0.0,0.0
248,discreteUniform,100,60,38308.0,38308,0.0,0.0
249,discreteUniform,100,60,39964.0,39964,0.0,0.0
250,largeJobs,100,60,55792.65,66882,39.40094447135925,0.0
251,largeJobs,100,60,55074.23333333333,65004,39.40757656097412,0.0
252,largeJobs,100,60,55524.05,66625,39.40124464035034,0.0
253,largeJobs,100,60,55704.03333333333,66760,39.40067911148071,0.0
254,largeJobs,100,60,55963.4,66869,39.4007408618927,0.0
255,largeJobs,100,60,54330.03333333333,65897,39.40444207191467,0.0
256,largeJobs,100,60,56515.35,67592,39.41079139709473,0.0
257,largeJobs,100,60,55478.03333333333,66597,39.406315326690674,0.0
258,largeJobs,100,60,54785.95,65391,39.41332530975342,0.0
259,largeJobs,100,60,55479.2,65479,39.405670404434204,0.0
260,extremes,100,60,39996.0,39996,0.0,0.0
261,extremes,100,60,39982.0,39982,0.0,0.0
262,extremes,100,60,39988.0,39988,0.0,0.0
263,extremes,100,60,39994.0,39994,0.0,0.0
264,extremes,100,60,40000.0,40000,0.0,0.0
265,extremes,100,60,39979.0,39979,0.0,0.0
266,extremes,100,60,39939.0,39939,0.0,0.0
267,extremes,100,60,39994.0,39994,0.0,0.0
268,extremes,100,60,40000.0,40000,0.0,0.0
269,extremes,100,60,39998.0,39998,0.0,0.0
270,centred,100,60,33531.71666666667,36797,39.402432441711426,0.0
271,centred,100,60,33117.0,34507,39.41221761703491,0.0
272,centred,100,60,36795.0,37625,39.40223836898804,0.0
273,centred,100,60,33369.7,38054,39.401082277297974,0.0
274,centred,100,60,36045.0,36211,39.4015097618103,0.0
275,centred,100,60,31569.066666666666,36503,39.4040629863739,0.0
276,centred,100,60,35218.0,36396,39.40078949928284,0.0
