,jobDist,n,m,lowerBound,cost,time
109,extremes,10,6,44606.333333333336,59372,39.4000289440155
110,centred,10,6,31342.333333333332,36065,39.40085291862488
111,centred,10,6,33407.0,36571,39.40039372444153
112,centred,10,6,29189.166666666668,32808,39.40054225921631
113,centred,10,6,31190.5,35940,39.400994539260864
114,centred,10,6,33962.5,38442,39.400020122528076
115,centred,10,6,31862.0,36318,39.400562047958374
116,centred,10,6,29544.166666666668,33045,39.4001522064209
117,centred,10,6,39700.5,46054,39.400511026382446
118,centred,10,6,29035.333333333332,31716,39.40089154243469
119,centred,10,6,35537.666666666664,40572,39.40087103843689
120,discreteUniform,10,8,38533.0,38533,39.400633811950684
121,discreteUniform,10,8,35841.0,35841,39.40053653717041
122,discreteUniform,10,8,28555.0,28555,39.400057315826416
123,discreteUniform,10,8,26427.0,26427,39.40000057220459
124,discreteUniform,10,8,37526.0,37526,39.400020360946655
125,discreteUniform,10,8,38948.0,38948,39.40028643608093
126,discreteUniform,10,8,37602.0,37602,39.400684118270874
127,discreteUniform,10,8,39451.0,39451,39.400604009628296
128,discreteUniform,10,8,26057.0,26057,39.400516986846924
129,discreteUniform,10,8,38997.0,38997,39.40049123764038
130,largeJobs,10,8,41427.375,63151,39.400551080703735
131,largeJobs,10,8,40937.125,60837,39.4009952545166
132,largeJobs,10,8,43587.5,63709,39.40081286430359
133,largeJobs,10,8,42279.25,60312,39.40219449996948
134,largeJobs,10,8,42534.625,62341,39.405054807662964
135,largeJobs,10,8,40908.125,60427,39.40316987037659
136,largeJobs,10,8,39980.125,57340,39.40003204345703
137,largeJobs,10,8,42520.0,62732,39.40204668045044
138,largeJobs,10,8,43305.0,66400,39.40097904205322
139,largeJobs,10,8,41903.25,58742,39.40096712112427
140,extremes,10,8,38251.0,38251,39.40003180503845
141,extremes,10,8,38936.0,38936,39.40097975730896
142,extremes,10,8,38235.0,38235,39.40073370933533
143,extremes,10,8,38869.0,38869,39.40082287788391
144,extremes,10,8,39716.0,39716,39.40061068534851
145,extremes,10,8,39961.0,39961,39.40084505081177
146,extremes,10,8,39410.0,39410,39.40080165863037
147,extremes,10,8,35768.0,35768,39.40004897117615
148,extremes,10,8,39365.0,39365,39.40098261833191
149,extremes,10,8,39952.0,39952,39.401005029678345
150,centred,10,8,27631.0,27631,39.400312423706055
151,centred,10,8,28631.0,32470,39.400349140167236
152,centred,10,8,32536.0,32536,39.4001727104187
153,centred,10,8,29882.0,38157,39.40845823287964
154,centred,10,8,26040.0,30763,39.40858602523804
155,centred,10,8,29084.375,36101,39.400280237197876
156,centred,10,8,29508.0,29508,39.400874614715576
157,centred,10,8,28017.0,29709,39.4073052406311
158,centred,10,8,32572.0,35733,39.40956091880798
159,centred,10,8,31487.0,36500,39.400171756744385
160,discreteUniform,100,20,98119.95,98166,39.40917634963989
161,discreteUniform,100,20,103187.8,103237,39.400105714797974
162,discreteUniform,100,20,110873.65,110910,39.40013766288757
163,discreteUniform,100,20,97891.45,97936,39.40081310272217
164,discreteUniform,100,20,98445.2,98497,39.40007400512695
165,discreteUniform,100,20,102797.55,102853,39.40011215209961
166,discreteUniform,100,20,98521.75,98561,39.4110221862793
167,discreteUniform,100,20,97183.85,97225,39.40028142929077
168,discreteUniform,100,20,100349.8,100404,39.40198874473572
169,discreteUniform,100,20,98042.9,98082,39.411165952682495
170,largeJobs,100,20,165521.3,165535,39.409465074539185
171,largeJobs,100,20,167268.15,167287,39.404629707336426
172,largeJobs,100,20,167136.75,167149,39.40011692047119
173,largeJobs,100,20,163648.5,163668,39.413647413253784
174,largeJobs,100,20,168681.8,168696,39.40383243560791
175,largeJobs,100,20,165868.85,165881,39.405887603759766
176,largeJobs,100,20,168837.75,168858,39.4009485244751
177,largeJobs,100,20,168701.7,168716,39.40087056159973
178,largeJobs,100,20,170367.6,170384,39.40007424354553
179,largeJobs,100,20,165959.3,165978,39.40499806404114
