,jobDist,n,m,lowerBound,cost,time
148,extremes,10,8,39365.0,39365.0,0.0
149,extremes,10,8,39952.0,39952.0,0.0009989738464355469
150,centred,10,8,27631.0,27631.0,0.0
151,centred,10,8,28631.0,32470.0,0.0
152,centred,10,8,32536.0,32536.0,0.0
153,centred,10,8,29882.0,38157.0,0.0
154,centred,10,8,26040.0,30763.0,0.0
155,centred,10,8,29084.375,36101.0,0.0
156,centred,10,8,29508.0,29508.0,0.0009999275207519531
157,centred,10,8,28017.0,29709.0,0.0009989738464355469
158,centred,10,8,32572.0,35733.0,0.0
159,centred,10,8,31487.0,36500.0,0.0
160,discreteUniform,100,20,98119.95,99254.0,0.0019979476928710938
161,discreteUniform,100,20,103187.8,107068.0,0.0019989013671875
162,discreteUniform,100,20,110873.65,113206.0,0.004996299743652344
163,discreteUniform,100,20,97891.45,100857.0,0.001999378204345703
164,discreteUniform,100,20,98445.2,101648.0,0.0019986629486083984
165,discreteUniform,100,20,102797.55,105419.0,0.00499725341796875
166,discreteUniform,100,20,98521.75,101464.0,0.002998828887939453
167,discreteUniform,100,20,97183.85,99775.0,0.0029976367950439453
168,discreteUniform,100,20,100349.8,102594.0,0.0029973983764648438
169,discreteUniform,100,20,98042.9,99753.0,0.0019981861114501953
170,largeJobs,100,20,165521.3,166876.0,0.004996299743652344
171,largeJobs,100,20,167268.15,168215.0,0.002997875213623047
172,largeJobs,100,20,167136.75,168219.0,0.003997325897216797
173,largeJobs,100,20,163648.5,164895.0,0.004996776580810547
174,largeJobs,100,20,168681.8,169355.0,0.005995273590087891
175,largeJobs,100,20,165868.85,168237.0,0.006995439529418945
176,largeJobs,100,20,168837.75,170349.0,0.0029981136322021484
177,largeJobs,100,20,168701.7,169728.0,0.006995201110839844
178,largeJobs,100,20,170367.6,171558.0,0.002997875213623047
179,largeJobs,100,20,165959.3,166870.0,0.004994630813598633
180,extremes,100,20,101342.95,104089.0,0.0019986629486083984
181,extremes,100,20,104972.3,106686.0,0.0019986629486083984
182,extremes,100,20,100280.55,104075.0,0.0010006427764892578
183,extremes,100,20,93735.75,95789.0,0.0019981861114501953
184,extremes,100,20,104658.85,105136.0,0.001998424530029297
185,extremes,100,20,101500.2,102793.0,0.002997875213623047
186,extremes,100,20,97453.15,99199.0,0.0039975643157958984
187,extremes,100,20,109605.4,110763.0,0.0019986629486083984
188,extremes,100,20,103602.65,106034.0,0.001998424530029297
189,extremes,100,20,97448.85,98820.0,0.0019986629486083984
190,centred,100,20,99519.6,100421.0,0.001998424530029297
191,centred,100,20,100848.4,103301.0,0.002996683120727539
192,centred,100,20,96179.95,96983.0,0.001999378204345703
193,centred,100,20,102256.25,103951.0,0.0019996166229248047
194,centred,100,20,102456.6,104985.0,0.001998424530029297
195,centred,100,20,95292.6,97469.0,0.0
196,centred,100,20,102057.7,104550.0,0.0068187713623046875
197,centred,100,20,95510.1,97415.0,0.002996683120727539
198,centred,100,20,106077.8,107968.0,0.002997875213623047
199,centred,100,20,101343.9,103845.0,0.0029997825622558594
200,discreteUniform,100,40,46486.325,48882.0,0.0019996166229248047
201,discreteUniform,100,40,46288.775,48207.0,0.0019979476928710938
202,discreteUniform,100,40,52276.2,55375.0,0.0019986629486083984
203,discreteUniform,100,40,50941.775,54535.0,0.002997875213623047
204,discreteUniform,100,40,50908.05,56815.0,0.0
205,discreteUniform,100,40,49037.65,54362.0,0.006331205368041992
206,discreteUniform,100,40,49972.625,53806.0,0.0019922256469726562
207,discreteUniform,100,40,48094.175,50881.0,0.0029990673065185547
208,discreteUniform,100,40,47691.525,50938.0,0.0019991397857666016
209,discreteUniform,100,40,51747.85,54367.0,0.00099945068359375
210,largeJobs,100,40,84538.95,96679.0,0.01898670196533203
211,largeJobs,100,40,82097.65,97206.0,0.0019989013671875
212,largeJobs,100,40,82356.625,93228.0,0.010992288589477539
213,largeJobs,100,40,82383.15,91975.0,0.013727426528930664
214,largeJobs,100,40,84516.625,95736.0,0.01298975944519043
215,largeJobs,100,40,83889.925,93488.0,0.014989137649536133
216,largeJobs,100,40,83577.975,95021.0,0.01499032974243164
217,largeJobs,100,40,84256.125,98143.0,0.009992599487304688
218,largeJobs,100,40,84071.25,93433.0,0.014989614486694336
219,largeJobs,100,40,83591.95,92573.0,0.015989303588867188
220,extremes,100,40,54071.775,57522.0,0.001998424530029297
221,extremes,100,40,43803.425,46480.0,0.002006053924560547
222,extremes,100,40,43104.825,45785.0,0.001990795135498047
223,extremes,100,40,46914.3,51157.0,0.001998424530029297
224,extremes,100,40,46750.05,50871.0,0.0019981861114501953
225,extremes,100,40,42807.875,45673.0,0.00200653076171875
226,extremes,100,40,44847.95,48964.0,0.0019986629486083984
227,extremes,100,40,47614.4,52720.0,0.001998424530029297
228,extremes,100,40,50370.4,52755.0,0.0020003318786621094
229,extremes,100,40,51757.4,58548.0,0.001997232437133789
230,centred,100,40,49758.6,53901.0,0.004996299743652344
231,centred,100,40,49911.275,55757.0,0.004996061325073242
232,centred,100,40,49826.825,54113.0,0.004396677017211914
233,centred,100,40,50368.375,54346.0,0.0
234,centred,100,40,50605.55,55712.0,0.0166933536529541
235,centred,100,40,50514.55,56147.0,0.009993791580200195
236,centred,100,40,51369.6,55248.0,0.007994413375854492
237,centred,100,40,51855.7,58164.0,0.004996538162231445
238,centred,100,40,51691.425,57308.0,0.003997802734375
239,centred,100,40,49102.0,54682.0,0.005996227264404297
240,discreteUniform,100,60,39900.0,39900.0,0.0009999275207519531
241,discreteUniform,100,60,39664.0,39664.0,0.0009999275207519531
242,discreteUniform,100,60,39562.0,39562.0,0.0019989013671875
243,discreteUniform,100,60,37290.0,37290.0,0.00099945068359375
244,discreteUniform,100,60,39423.0,41097.0,0.0019986629486083984
245,discreteUniform,100,60,39959.0,39959.0,0.001998424530029297
246,discreteUniform,100,60,39381.0,39381.0,0.0009992122650146484
247,discreteUniform,100,60,39214.0,39214.0,0.0019986629486083984
248,discreteUniform,100,60,38308.0,38308.0,0.001998424530029297
249,discreteUniform,100,60,39964.0,39964.0,0.0019986629486083984
250,largeJobs,100,60,55792.65,66882.0,0.001998424530029297
251,largeJobs,100,60,55074.23333333333,65004.0,0.001998424530029297
252,largeJobs,100,60,55524.05,66625.0,0.0009992122650146484
253,largeJobs,100,60,55704.03333333333,66760.0,0.001998424530029297
254,largeJobs,100,60,55963.4,66869.0,0.0009999275207519531
255,largeJobs,100,60,54330.03333333333,65897.0,0.0019974708557128906
256,largeJobs,100,60,56515.35,67592.0,0.0010006427764892578
257,largeJobs,100,60,55478.03333333333,66597.0,0.001998424530029297
258,largeJobs,100,60,54785.95,65391.0,0.0009999275207519531
259,largeJobs,100,60,55479.2,65479.0,0.001998424530029297
260,extremes,100,60,39996.0,39996.0,0.00099945068359375
261,extremes,100,60,39982.0,39982.0,0.0019986629486083984
262,extremes,100,60,39988.0,39988.0,0.001998424530029297
263,extremes,100,60,39994.0,39994.0,0.001998424530029297
264,extremes,100,60,40000.0,40000.0,0.0019981861114501953
265,extremes,100,60,39979.0,39979.0,0.0019996166229248047
266,extremes,100,60,39939.0,39939.0,0.0009992122650146484
267,extremes,100,60,39994.0,39994.0,0.0019991397857666016
268,extremes,100,60,40000.0,40000.0,0.0009987354278564453
269,extremes,100,60,39998.0,39998.0,0.0019989013671875
270,centred,100,60,33531.71666666667,36797.0,0.0009999275207519531
271,centred,100,60,33117.0,34507.0,0.0
272,centred,100,60,36795.0,37625.0,0.0
273,centred,100,60,33369.7,38054.0,0.0
274,centred,100,60,36045.0,36211.0,0.0
275,centred,100,60,31569.066666666666,36503.0,0.0
276,centred,100,60,35218.0,36396.0,0.015624284744262695
277,centred,100,60,34285.0,35968.0,0.0
278,centred,100,60,35240.0,38496.0,0.0050046443939208984
279,centred,100,60,35000.0,37407.0,0.0
280,discreteUniform,100,80,39500.0,39500.0,0.0
281,discreteUniform,100,80,39032.0,39032.0,0.0
282,discreteUniform,100,80,39569.0,39569.0,0.0
283,discreteUniform,100,80,39702.0,39702.0,0.0
284,discreteUniform,100,80,39180.0,39180.0,0.0009987354278564453
285,discreteUniform,100,80,39990.0,39990.0,0.0009987354278564453
286,discreteUniform,100,80,39794.0,39794.0,0.0019981861114501953
287,discreteUniform,100,80,39753.0,39753.0,0.0010004043579101562
288,discreteUniform,100,80,39574.0,39574.0,0.0019986629486083984
289,discreteUniform,100,80,39948.0,39948.0,0.0019986629486083984
290,largeJobs,100,80,41910.725,60552.0,0.0019989013671875
291,largeJobs,100,80,42114.2375,62205.0,0.0019996166229248047
292,largeJobs,100,80,41199.3875,59178.0,0.0019989013671875
293,largeJobs,100,80,41828.55,60653.0,0.0009999275207519531
294,largeJobs,100,80,41409.775,58261.0,0.00099945068359375
295,largeJobs,100,80,41562.475,58698.0,0.0009987354278564453
296,largeJobs,100,80,42576.9375,62097.0,0.0019981861114501953
297,largeJobs,100,80,42701.05,62721.0,0.0019996166229248047
298,largeJobs,100,80,41809.5625,60311.0,0.00099945068359375
299,largeJobs,100,80,41399.9375,60650.0,0.001999378204345703
300,extremes,100,80,39999.0,39999.0,0.0019986629486083984
301,extremes,100,80,39966.0,39966.0,0.0019981861114501953
302,extremes,100,80,40000.0,40000.0,0.001999378204345703
303,extremes,100,80,39861.0,39861.0,0.0019989013671875
304,extremes,100,80,39995.0,39995.0,0.0009984970092773438
305,extremes,100,80,40000.0,40000.0,0.0009992122650146484
306,extremes,100,80,39994.0,39994.0,0.0019989013671875
307,extremes,100,80,39954.0,39954.0,0.0019991397857666016
308,extremes,100,80,39977.0,39977.0,0.00099945068359375
309,extremes,100,80,40000.0,40000.0,0.0010001659393310547
310,centred,100,80,34814.0,34814.0,0.0009992122650146484
311,centred,100,80,33306.0,33306.0,0.001999378204345703
312,centred,100,80,32483.0,32483.0,0.001997709274291992
313,centred,100,80,34160.0,34160.0,0.0009996891021728516
314,centred,100,80,34326.0,34326.0,0.0009992122650146484
315,centred,100,80,36860.0,36860.0,0.0009989738464355469
316,centred,100,80,36104.0,36104.0,0.00099945068359375
317,centred,100,80,34961.0,34961.0,0.0010006427764892578
318,centred,100,80,33421.0,33421.0,0.0019989013671875
319,centred,100,80,32974.0,32974.0,0.00099945068359375
320,discreteUniform,1000,200,97434.655,100640.0,0.025981426239013672
321,discreteUniform,1000,200,98763.795,100964.0,0.01944446563720703
322,discreteUniform,1000,200,98550.725,100542.0,0.019985675811767578
323,discreteUniform,1000,200,99105.295,101519.0,0.04598879814147949
324,discreteUniform,1000,200,101304.66,104731.0,0.026363134384155273
325,discreteUniform,1000,200,99877.945,102757.0,0.02298426628112793
326,discreteUniform,1000,200,99176.55,101439.0,0.019691944122314453
327,discreteUniform,1000,200,100463.88,103400.0,0.019621610641479492
328,discreteUniform,1000,200,101025.93,103861.0,0.025356292724609375
329,discreteUniform,1000,200,101467.525,105232.0,0.02944493293762207
330,largeJobs,1000,200,166187.55,168143.0,0.12255525588989258
331,largeJobs,1000,200,167166.825,168834.0,0.14448881149291992
332,largeJobs,1000,200,166645.135,168284.0,0.1638486385345459
333,largeJobs,1000,200,166835.93,169102.0,0.06755852699279785
334,largeJobs,1000,200,166980.875,168673.0,0.15602922439575195
335,largeJobs,1000,200,166812.4,168951.0,0.11897993087768555
336,largeJobs,1000,200,166056.195,167842.0,0.10239338874816895
337,largeJobs,1000,200,166223.585,167941.0,0.12364029884338379
338,largeJobs,1000,200,165728.02,167667.0,0.05202221870422363
339,largeJobs,1000,200,167607.405,169500.0,0.16930890083312988
340,extremes,1000,200,99607.375,100133.0,0.03569984436035156
341,extremes,1000,200,98714.915,100565.0,0.012319326400756836
342,extremes,1000,200,99287.93,99917.0,0.025664806365966797
343,extremes,1000,200,106716.09,107395.0,0.01698756217956543
344,extremes,1000,200,97283.27,98122.0,0.01994800567626953
345,extremes,1000,200,100025.28,101241.0,0.030353546142578125
346,extremes,1000,200,104594.195,104943.0,0.019689559936523438
347,extremes,1000,200,99700.28,100407.0,0.015988588333129883
348,extremes,1000,200,103284.745,104590.0,0.016430377960205078
349,extremes,1000,200,98430.905,98867.0,0.019708871841430664
350,centred,1000,200,100753.035,103491.0,0.018213510513305664
351,centred,1000,200,99897.86,101830.0,0.022281169891357422
352,centred,1000,200,100526.175,102530.0,0.0756988525390625
353,centred,1000,200,98677.06,100691.0,0.03590583801269531
354,centred,1000,200,99638.83,102139.0,0.0389103889465332
355,centred,1000,200,100568.26,102452.0,0.018985748291015625
356,centred,1000,200,99699.735,101355.0,0.016988754272460938
357,centred,1000,200,98568.235,100367.0,0.01698780059814453
358,centred,1000,200,102047.775,104134.0,0.0355374813079834
359,centred,1000,200,100967.575,103311.0,0.01598834991455078
360,discreteUniform,1000,400,49476.7025,53933.0,0.006403446197509766
361,discreteUniform,1000,400,49360.19,54245.0,0.030438661575317383
362,discreteUniform,1000,400,50040.0425,55270.0,0.014989376068115234
363,discreteUniform,1000,400,49481.4375,54295.0,0.021480083465576172
364,discreteUniform,1000,400,48389.185,52882.0,0.015988588333129883
365,discreteUniform,1000,400,51048.1875,55475.0,0.015988826751708984
366,discreteUniform,1000,400,49330.5775,54732.0,0.014990091323852539
367,discreteUniform,1000,400,48721.7525,53734.0,0.01698756217956543
368,discreteUniform,1000,400,49480.73,53347.0,0.016988754272460938
369,discreteUniform,1000,400,51379.8,56762.0,0.015986919403076172
370,largeJobs,1000,400,82805.9925,93167.0,0.8724522590637207
371,largeJobs,1000,400,83071.535,93527.0,0.8083353042602539
372,largeJobs,1000,400,83457.2525,92203.0,1.044196605682373
373,largeJobs,1000,400,83213.55,93131.0,0.9538774490356445
374,largeJobs,1000,400,83599.7775,92952.0,1.0069081783294678
375,largeJobs,1000,400,83756.5375,92240.0,1.0400183200836182
376,largeJobs,1000,400,83643.3675,92287.0,1.004991054534912
377,largeJobs,1000,400,83144.7075,91516.0,1.0330274105072021
378,largeJobs,1000,400,82920.8525,90983.0,1.0359413623809814
379,largeJobs,1000,400,83238.0725,92493.0,0.9780194759368896
380,extremes,1000,400,52188.25,56727.0,0.02095198631286621
381,extremes,1000,400,50445.29,54736.0,0.015987634658813477
382,extremes,1000,400,50211.435,53490.0,0.01605391502380371
383,extremes,1000,400,50156.275,52690.0,0.018986940383911133
384,extremes,1000,400,51254.85,53162.0,0.015988588333129883
385,extremes,1000,400,49256.1,52328.0,0.0019562244415283203
386,extremes,1000,400,49847.4075,52389.0,0.030440092086791992
387,extremes,1000,400,49391.285,52966.0,0.01753687858581543
388,extremes,1000,400,49025.705,52106.0,0.018709897994995117
389,extremes,1000,400,49145.175,52037.0,0.017986297607421875
390,centred,1000,400,50669.5075,54890.0,0.31099915504455566
391,centred,1000,400,50035.0875,54403.0,0.3121333122253418
392,centred,1000,400,49070.9975,53403.0,0.26602625846862793
393,centred,1000,400,51394.98,55807.0,0.31708192825317383
394,centred,1000,400,50731.5425,55095.0,0.32896876335144043
395,centred,1000,400,50968.52,56197.0,0.33766746520996094
396,centred,1000,400,50588.025,54598.0,0.30819106101989746
397,centred,1000,400,48879.78,52794.0,0.2833852767944336
398,centred,1000,400,50481.4225,55216.0,0.36801648139953613
399,centred,1000,400,49803.0825,53882.0,0.36435675621032715
400,discreteUniform,1000,600,39946.0,39946.0,0.027709484100341797
401,discreteUniform,1000,600,39996.0,39996.0,0.013989686965942383
402,discreteUniform,1000,600,39997.0,39997.0,0.004323482513427734
403,discreteUniform,1000,600,39932.0,39932.0,0.02765822410583496
404,discreteUniform,1000,600,39903.0,39903.0,0.014988899230957031
405,discreteUniform,1000,600,39952.0,39952.0,0.014990091323852539
406,discreteUniform,1000,600,39877.0,39877.0,0.015042781829833984
407,discreteUniform,1000,600,39945.0,39945.0,0.014991283416748047
408,discreteUniform,1000,600,39979.0,39979.0,0.014037132263183594
409,discreteUniform,1000,600,40000.0,40000.0,0.017965078353881836
410,largeJobs,1000,600,55272.32166666666,65522.0,0.018378257751464844
411,largeJobs,1000,600,55464.70333333333,65825.0,0.014634370803833008
412,largeJobs,1000,600,55939.55,66300.0,0.01599884033203125
413,largeJobs,1000,600,55555.89666666667,66177.0,0.012406587600708008
414,largeJobs,1000,600,55303.28333333333,65909.0,0.02061152458190918
415,largeJobs,1000,600,55437.97833333333,65660.0,0.014988899230957031
416,largeJobs,1000,600,55471.73333333333,66077.0,0.016436338424682617
417,largeJobs,1000,600,55647.62666666666,66361.0,0.015564918518066406
418,largeJobs,1000,600,55427.74166666667,65531.0,0.01498866081237793
419,largeJobs,1000,600,55666.635,65928.0,0.016478538513183594
420,extremes,1000,600,39999.0,39999.0,0.015547037124633789
421,extremes,1000,600,39999.0,39999.0,0.01698780059814453
422,extremes,1000,600,40000.0,40000.0,0.01641106605529785
423,extremes,1000,600,40000.0,40000.0,0.01498866081237793
424,extremes,1000,600,40000.0,40000.0,0.015414953231811523
425,extremes,1000,600,39999.0,39999.0,0.015596151351928711
426,extremes,1000,600,40000.0,40000.0,0.014989137649536133
427,extremes,1000,600,40000.0,40000.0,0.015988588333129883
428,extremes,1000,600,40000.0,40000.0,0.014988899230957031
429,extremes,1000,600,40000.0,40000.0,0.01598834991455078
430,centred,1000,600,37379.0,37379.0,0.015462875366210938
431,centred,1000,600,36447.0,36447.0,0.015588760375976562
432,centred,1000,600,35986.0,36341.0,0.01598834991455078
433,centred,1000,600,37621.0,37621.0,0.011471748352050781
434,centred,1000,600,36907.0,36907.0,0.01199197769165039
435,centred,1000,600,37941.0,37941.0,0.010992765426635742
436,centred,1000,600,36931.0,36931.0,0.009992599487304688
437,centred,1000,600,37244.0,37244.0,0.013988256454467773
438,centred,1000,600,38327.0,38327.0,0.010991334915161133
439,centred,1000,600,36799.0,36799.0,0.011991024017333984
440,discreteUniform,1000,800,39955.0,39955.0,0.013437509536743164
441,discreteUniform,1000,800,39976.0,39976.0,0.013548612594604492
442,discreteUniform,1000,800,39999.0,39999.0,0.014989376068115234
443,discreteUniform,1000,800,39959.0,39959.0,0.0063931941986083984
444,discreteUniform,1000,800,39893.0,39893.0,0.026683568954467773
445,discreteUniform,1000,800,39977.0,39977.0,0.02140641212463379
446,discreteUniform,1000,800,39993.0,39993.0,0.014495372772216797
447,discreteUniform,1000,800,40000.0,40000.0,0.012988805770874023
448,discreteUniform,1000,800,39976.0,39976.0,0.012990713119506836
449,discreteUniform,1000,800,39943.0,39943.0,0.0
450,largeJobs,1000,800,41546.955,59978.0,0.014014244079589844
451,largeJobs,1000,800,41272.11875,59376.0,0.012990713119506836
452,largeJobs,1000,800,41582.23625,59711.0,0.0033555030822753906
453,largeJobs,1000,800,41460.22125,59424.0,0.027638912200927734
454,largeJobs,1000,800,41540.47625,59682.0,0.012990713119506836
455,largeJobs,1000,800,41609.595,59760.0,0.005357265472412109
456,largeJobs,1000,800,41637.16625,60138.0,0.022682905197143555
457,largeJobs,1000,800,41665.2375,60145.0,0.013989925384521484
458,largeJobs,1000,800,41534.56125,59891.0,0.014427661895751953
459,largeJobs,1000,800,41321.1775,59664.0,0.013533592224121094
460,extremes,1000,800,40000.0,40000.0,0.013990163803100586
461,extremes,1000,800,40000.0,40000.0,0.011384725570678711
462,extremes,1000,800,40000.0,40000.0,0.01667189598083496
463,extremes,1000,800,40000.0,40000.0,0.012990474700927734
464,extremes,1000,800,40000.0,40000.0,0.01299142837524414
465,extremes,1000,800,40000.0,40000.0,0.014467954635620117
466,extremes,1000,800,39999.0,39999.0,0.013557910919189453
